 ,Mg,Rg,a,ad,ag,al,an,b,begin,bg,bl,c,cc,d,dg,dl,e,end,f,gb,gc,gg,gi,gm,gp,h,i,j,k,l,m,mq,n,nba,nbc,nf,ng,nhd,nhm,nis,nit,nmc,nnd,nnt,nr,nr1,nr2,nrf,nrj,ns,nsf,nt,ntc,ntcb,nto,ntu,nx,nz,o,p,pba,pbei,q,qt,qv,r,rr,ry,rys,ryt,ryv,rz,rzs,rzt,rzv,s,t,tg,u,ude1,ude2,ude3,udeng,udh,uguo,ule,ulian,uls,usuo,uyy,uzhe,uzhi,v,vd,vf,vg,vi,vl,vn,vshi,vx,vyou,w,x,xu,y,z
t,1,0,4717,1595,171,76,164,1974,0,0,37,1602,2384,24243,9,31,0,1435,14125,6,2,8,63,131,7,0,1,191,17,13,13336,2369,36004,0,0,217,1060,71,1,1313,8,5,393,1206,2064,145,2,500,64,7128,1136,311,198,8,50,14,0,5009,4,16329,120,1258,1613,738,177,1455,4445,79,2,1,156,1335,134,72,631,945,35658,2615,364,18927,26,29,118,15,74,456,141,56,176,280,4,299,47107,538,5544,338,9131,433,6095,2251,8,1786,102086,886,0,91,162
tg,4,1,197,22,157,0,20,364,0,0,0,28,90,703,7,2,0,72,270,0,0,3,0,2,1,0,0,6,13,0,416,95,2424,0,0,11,440,2,0,70,3,0,6,249,83,20,0,12,3,313,13,0,1,0,0,0,0,349,0,597,2,37,127,29,59,143,87,6,0,0,0,621,4,0,8,100,667,182,0,383,8,0,8,0,0,191,12,0,4,0,3,14,1779,4,163,64,275,19,154,43,0,61,2909,18,0,8,4
u,0,0,5,4,0,0,1,5,0,0,0,7,10,108,0,0,0,2,18,0,0,0,0,1,0,0,0,0,0,0,37,54,108,0,0,0,12,0,0,0,0,0,1,3,4,0,0,1,0,18,3,0,0,0,0,0,0,37,0,11,0,0,6,0,0,0,65,0,0,0,0,3,1,0,3,1,6,0,0,39,5,1,0,0,0,11,0,0,0,0,0,1,71,0,1,1,4,1,3,15,0,1,2654,0,0,4,0
ude1,0,1,38389,2972,722,176,4995,15199,0,6,85,3164,267,12694,27,30,26,221,4053,596,176,165,850,816,161,10,0,221,33,153,25584,14573,401011,36,0,4822,1990,680,78,6816,157,240,3677,13536,11394,1675,18,2905,212,10644,2727,438,632,9,34,15,0,30225,28,1722,45,189,2128,471,132,2189,3387,190,2,0,30,3396,95,1,2206,3904,5659,322,1,166,97,7,47,0,34,165,26,43,27,87,2,2,16585,263,253,812,3781,1179,118289,10470,20,773,56839,3933,0,721,1094
ude2,0,0,332,90,15,16,18,37,0,0,0,11,201,846,1,1,1,69,158,0,0,1,0,0,0,0,0,0,7,3,107,52,1231,0,0,5,64,0,0,58,0,0,6,39,18,1,0,7,0,35,4,0,0,0,0,0,0,460,0,1594,196,111,36,0,7,9,13,0,0,0,28,20,0,0,10,16,20,12,2,244,10,2,16,0,3,6,7,0,4,1,0,4,11663,69,234,39,1095,68,1031,43,24,96,1803,9,0,4,8
ude3,0,0,1782,368,18,480,78,26,0,0,10,65,58,2605,3,9,0,3,144,0,0,0,0,0,0,0,0,0,0,14,179,107,606,0,0,4,33,36,0,5,0,0,8,6,39,1,0,4,0,15,2,0,1,0,0,0,0,385,5,212,34,7,22,5,6,12,73,10,0,0,58,115,10,0,53,6,49,19,0,45,0,3,29,0,71,0,9,0,0,3,9,8,1502,7,186,17,308,113,43,48,0,94,184,3,0,6,199
udeng,0,0,2599,165,17,29,132,1547,0,0,14,15,90,1818,2,5,0,102,193,55,11,6,101,0,1,1,0,4,1,0,4878,1302,25763,0,0,156,259,10,0,277,16,0,195,334,50,14,0,3,1,268,35,38,17,0,1,0,0,882,0,589,11,39,95,14,30,307,508,26,0,4,2,519,19,0,146,187,208,21,0,286,0,10,3,0,20,0,0,4,12,11,1,3,3427,74,101,55,515,113,3224,18,4,82,8310,15,0,2,22
udh,0,0,6,5,0,2,1,1,0,0,0,10,10,181,0,0,0,9,22,0,0,0,0,0,0,0,0,0,0,0,4,1,40,0,0,0,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,16,0,1,1,0,0,1,25,4,0,0,1,3,2,0,4,0,4,0,0,1,0,0,0,0,0,9,0,40,2,0,0,0,317,0,16,0,5,4,2,7,0,5,1896,0,0,3,0
uguo,0,0,1457,32,11,6,19,147,0,0,3,26,17,268,0,0,0,27,216,0,0,0,16,6,1,0,0,17,0,16,922,1001,2259,1,0,45,99,21,0,104,7,0,22,132,140,9,0,40,2,228,87,11,9,0,0,1,0,432,1,93,4,5,222,17,8,134,356,95,1,0,16,250,15,0,177,74,380,2,0,905,0,0,1,6,11,0,0,12,0,11,0,10,718,4,32,12,278,20,342,5,0,25,2412,34,0,48,1
ule,1,0,9130,1377,153,111,457,2989,0,1,131,283,378,6377,1,49,31,703,1464,26,0,14,130,39,10,2,0,78,11,47,18938,14652,32949,0,0,512,876,207,12,1926,23,8,378,1287,2767,437,6,600,68,4924,861,175,190,2,20,13,0,4857,9,2389,57,98,2145,247,107,1355,5696,817,33,23,169,2439,149,2,2010,1811,4263,83,2,371,29,0,4,11,25,40,4,0,28,23,0,80,10461,169,2204,187,2554,557,5298,30,0,141,47044,658,0,994,271
ulian,0,0,69,0,8,0,0,30,0,0,0,3,13,81,0,1,0,0,95,1,0,0,3,0,0,0,0,0,0,0,54,80,884,0,0,17,123,1,0,31,6,0,31,88,105,2,0,13,11,46,23,0,0,0,0,0,0,119,0,75,1,5,126,2,9,12,177,1,0,0,0,43,13,0,13,35,42,0,0,18,0,28,14,0,3,0,0,0,0,0,0,0,768,2,43,11,150,10,48,0,0,5,99,24,0,0,2
